TARGET_B,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome,GiftCntAll_M,GiftCntCardAll_M,GiftAvgCard36_M,PromCntCard12_M,DemAge_M,DemMedHomeValue_M,DemPctVeterans_M,DemMedIncome_M,StatusCat96NK_A,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_m,DemHomeOwner_H,DemGender_F,DemGender_U,_ROLE_
0,,1.0986122887,1.3862943611,1,1.3862943611,17,13.5,9.25,17,21,4.189654742,8,17,3.258096538,3,8,2.5649493575,A,0,0,59.427012844,F,U,4.7164807071,0,31.777502691,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,2.0794415417,0,1.3862943611,20,20,15.88,13.97297875,26,4.521788577,14,35,4.3694478525,5,5,3.1780538303,A,0,23,67,F,U,5.2257466737,800,85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,40,0.6931471806,1.0986122887,0,0.6931471806,35,35,28.33,13.97297875,17,3.7841896339,15,32,4.0253516907,6,6,3.0910424534,A,0,35,59.427012844,F,U,4.9199809258,300,32,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,50,1.0986122887,0.6931471806,1,0.6931471806,20,12.5,12.5,5,18,3.295836866,11,23,2.9444389792,5,11,2.1972245773,A,0,24,50,F,H,4.7164807071,445.43469218,31.777502691,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,1.6094379124,1,0.6931471806,10,41.5,35.2,50,18,3.4965075615,14,33,3.4965075615,6,15,2.5649493575,A,0,45,59.427012844,F,U,4.248495242,0,37,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,10,1.6094379124,2.6390573296,2,2.0794415417,17,17,11.43,16.5,16,4.8202815656,13,29,4.0604430105,6,16,3.36729583,A,0,0,47,F,U,4.4659081187,500,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,5,1.7917594692,1.9459101491,4,1.7917594692,5,4.8,4.29,3.5,16,3.7135720667,15,32,3.4657359028,6,14,2.5649493575,A,1,12,59.427012844,F,U,4.3820266347,0,37,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,12,1.0986122887,2.4849066498,1,1.9459101491,12,11,6.08,12,20,4.7184988713,15,34,4.2341065046,6,14,3.3322045102,A,0,36,67,F,H,3.9512437186,900,35,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,10,1.3862943611,3.0910424534,3,2.8332133441,10,6.67,2.64,6.67,24,4.8751973232,4,13,3.8918202981,2,7,3.1780538303,A,1,49,59,F,U,4.0775374439,500,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,2.7725887222,2,2.5649493575,15,15,11.31,15,19,4.8040210447,13,33,4.3307333403,6,16,3.4965075615,A,1,43,47,F,H,3.9120230054,200,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
