,0,1,2,3,4,5,6,7,8
accord,0.029190383,0.090012581,0,0.06968616,0,0,0,0.10070922,0
actually,0.029190383,0.030004194,0.047302393,0,0,0,0.057727679,0,0
advisers,0,0.135834047,0.107072956,0,0.035535289,0,0,0,0
africa,0,0,0,0.078870251,0.035535289,0.031478646,0,0,0
age,0,0,0,0.197175627,0.106605867,0.062957292,0,0,0
american,0.066074895,0.033958512,0,0.078870251,0,0,0,0,0
among,0.066074895,0,0,0.039435125,0.071070578,0,0,0,0
apple,0,0,0,0,0,0,0.326678676,0.683891442,0.564479004
april,0,0.060008387,0,0.03484308,0.031397362,0,0.057727679,0,0
around,0.033037447,0,0,0,0.071070578,0,0,0.056990954,0
astrazeneca,0,0,0,0.315481004,0.355352889,0.125914584,0,0,0
authorization,0,0,0,0.078870251,0.035535289,0.062957292,0,0,0
available,0.033037447,0,0,0.039435125,0,0,0.065335735,0,0
become,0,0,0,0.039435125,0.035535289,0.031478646,0,0,0
beyond,0.033037447,0,0,0,0,0.031478646,0,0.056990954,0
biden,0.3502846,0.510071293,0.378419143,0,0.031397362,0,0,0,0
billion,0.198224685,0.033958512,0.107072956,0,0,0,0,0,0
blood,0,0,0,0.078870251,0.071070578,0.062957292,0,0,0
boost,0,0,0.107072956,0.039435125,0.035535289,0,0,0,0
brazil,0,0,0,0.039435125,0.035535289,0.031478646,0,0,0
bridge,0.033037447,0.033958512,0.053536478,0,0,0,0,0,0
care,0.066074895,0.101875535,0,0,0,0.094435938,0,0,0
case,0,0,0,0,0.142141156,0,0,0.056990954,0.188159668
climate,0.099112342,0.067917023,0.053536478,0,0,0,0,0,0
clot,0,0,0,0.078870251,0.142141156,0.062957292,0,0,0
code,0.029190383,0.030004194,0.047302393,0,0,0,0.346366073,0,0
college,0.066074895,0,0.053536478,0.039435125,0,0,0,0,0
company,0,0,0,0.10452924,0.094192087,0.055626195,0,0.15106383,0
component,0.066074895,0,0,0,0,0,0,0.113981907,0.188159668
concern,0,0,0,0.039435125,0.035535289,0.062957292,0,0,0
condition,0.029190383,0,0,0.03484308,0.031397362,0,0,0.05035461,0
connect,0,0,0,0,0.071070578,0,0,0.113981907,0.188159668
consider,0.029190383,0.030004194,0.141907179,0,0.031397362,0,0,0,0
